Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Pomaderris halmaturina subsp. halmaturina,Kangaroo Island Pomaderris,Vulnerable,Present,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris pallida,Pale Pomaderris,Vulnerable,Present,,"ACT, NSW",Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris parrisiae,Parris' Pomaderris,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris pilifera subsp. talpicutica,Moleskin Dogwood,Vulnerable,Present,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris reperta,Denman Pomaderris,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris sericea,Bent Pomaderris,Vulnerable,Present,,"NSW, VIC",Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris subplicata,Concave Pomaderris,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris vacciniifolia,Round-leaf Pomaderris,Critically Endangered,Present,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pomaderris walshii,Carrington Falls Pomaderris,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Rhamnales,Rhamnaceae,
Pommerhelix duralensis,Dural Land Snail,Endangered,Endemic,,NSW,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Poranthera petalifera,Mountain Poranthera,Vulnerable,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,
Porphyrio albus,White Gallinule,Extinct,Extinct,,NSW,Animalia,Chordata,Aves,Gruiformes,Rallidae,
Potorous gilbertii,"Gilbert's Potoroo, Ngilkat",Critically Endangered,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Potorous longipes,Long-footed Potoroo,Endangered,Present,,"NSW, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Potorous platyops,"Broad-faced Potoroo, Moda",Extinct,Extinct,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Potorous tridactylus tridactylus,Long-nosed Potoroo (SE Mainland),Vulnerable,Present,,"NSW, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Mammalia,Diprotodonta,Potoroidae,
Prasophyllum affine,"Jervis Bay Leek Orchid, Culburra Leek-orchid, Kinghorn Point Leek-orchid",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum amoenum,Dainty Leek-orchid,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum apoxychilum,Tapered Leek-orchid,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum atratum,Three Hummock Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum bagoense,Bago Leek-orchid,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum castaneum,Chestnut Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum colemaniae,Lilac Leek-orchid,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum correctum,Gaping Leek-orchid,Endangered,Present,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum crebriflorum,Crowded Leek-Orchid,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum diversiflorum,Gorae Leek-orchid,Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum favonium,Western Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum frenchii,"Maroon Leek-orchid, Slaty Leek-orchid, Stout Leek-orchid, French's Leek-orchid, Swamp Leek-orchid",Endangered,Present,,"SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum fuscum,"Tawny Leek-orchid, Slaty Leek-orchid",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum goldsackii,Goldsack's Leek-orchid,Endangered,Endangered,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum incorrectum,Golfers Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum innubum,Brandy Marys Leek-orchid,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum keltonii,Kelton's Leek-orchid,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum laxum,Lax Leek Orchid,Critically Endangered,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum limnetes,Marsh Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum milfordense,Milford Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum morganii,"Mignonette Leek-orchid, Cobungra Leek-orchid, Dense Leek-orchid",Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum murfetii,Fleurieu Leek Orchid,Critically Endangered,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum olidum,Pungent Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum pallidum,Pale Leek-orchid,Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum perangustum,Knocklofty Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum petilum,Tarengo Leek Orchid,Endangered,Present,,"ACT, NSW",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum pruinosum,Plum Leek-orchid,Endangered,Present,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum pulchellum,Pretty Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum robustum,Robust Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum secutum,Northern Leek-orchid,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum sp. Wybong (C.Phelps ORG 5269),a leek-orchid,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum spicatum,Dense Leek-orchid,Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum stellatum,Ben Lomond Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum suaveolens,Fragrant Leek-orchid,Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum subbisectum,Pomonal Leek-orchid,Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum taphanyx,Graveside Leek-orchid,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum tunbridgense,Tunbridge Leek-orchid,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum validum,"Sturdy Leek-orchid, Mount Remarkable Leek-orchid",Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum validum,"Sturdy Leek-orchid, Mount Remarkable Leek-orchid",Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Prasophyllum wallum,Wallum Leek-orchid,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pristis clavata,"Dwarf Sawfish, Queensland Sawfish",Vulnerable,Present,,"NT, OCE, QLD, WA",Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,
Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",Vulnerable,Present,,"NT, OCE, QLD, WA",Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,
Pristis zijsron,"Green Sawfish, Dindagubba, Narrowsnout Sawfish",Vulnerable,Present,,"NSW, NT, OCE, QLD, WA",Animalia,Chordata,Chondrichthyes,Rajiformes,Pristidae,
Probosciger aterrimus macgillivrayi,Palm Cockatoo (Australian),Vulnerable,Present,,QLD,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,
Prostanthera albohirta,,Critically Endangered,Extinct,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera askania,"Tranquillity Mintbush, Tranquility Mintbush",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera calycina,"West Coast Mintbush, Limestone Mintbush, Red Mintbush",Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera cineolifera,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera clotteniana,,Critically Endangered,Extinct,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera cryptandroides subsp. cryptandroides,Wollemi Mint-bush,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera densa,Villous Mintbush,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera discolor,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera eurybioides,Monarto Mintbush,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera galbraithiae,Wellington Mintbush,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera junonis,Somersby Mintbush,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera marifolia,Seaforth Mintbush,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera nudula,Mount Illbilie Mintbush,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera nudula,Mount Illbilie Mintbush,Vulnerable,Present,,NT,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera palustris,Swamp Mint-bush,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera schultzii,,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera sp. Dunmore (D.M.Gordon 8A),,Vulnerable,Present,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera spathulata,,Vulnerable,Present,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera staurophylla,a mint-bush,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prostanthera stricta,Mount Vincent Mintbush,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,
Prototroctes maraena,Australian Grayling,Vulnerable,Present,,"NSW, OCE, SA, TAS, TER, VIC",Animalia,Chordata,Actinopterygii,Salmoniformes,Retropinnidae,
Psephotus chrysopterygius,"Golden-shouldered Parrot, Alwal",Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Psephotus pulcherrimus,Paradise Parrot,Extinct,Extinct,,"NSW, QLD",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,
Pseudemydura umbrina,Western Swamp Tortoise,Critically Endangered,Endemic,,WA,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Pseudocephalozia paludicola,Alpine Leafy Liverwort,Vulnerable,Present,,"TAS, VIC",Plantae,Bryophyta,Bryopsida,Bryales,Lepidoziaceae,
Pseudocharopa ledgbirdi,Mount Lidgbird Charopid Land Snail,Critically Endangered,Present,,"AET, NSW",Animalia,Mollusca,Gastropoda,Pulmonata,Charopidae,
Pseudocharopa whiteleggei,Whitelegge's Land Snail,Critically Endangered,Present,,"AET, NSW",Animalia,Mollusca,Gastropoda,Pulmonata,Charopidae,
Pseudocheirus occidentalis,"Western Ringtail Possum, Ngwayir, Womp, Woder, Ngoor, Ngoolangit",Critically Endangered,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Petauridae,
Pseudococcus markharveyi,Banksia montana mealybug,Critically Endangered,Present,,WA,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,
Pseudomugil mellis,Honey Blue-eye,Vulnerable,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Atheriniformes,Pseudomugilidae,
Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Present,,"NSW, NT, QLD, SA, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Present,,"NT, SA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Present,,"ACT, NSW, SA, VIC",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Extinct,,"NSW, QLD, SA, VIC, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Present,,"NSW, QLD, TAS, TER, VIC",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Present,,"NSW, QLD",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Endemic,,NSW,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Present,,"SA, VIC, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Pseudophryne corroboree,Southern Corroboree Frog,Critically Endangered,Endemic,,NSW,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Pseudophryne covacevichae,Magnificent Brood Frog,Vulnerable,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Pseudophryne pengilleyi,Northern Corroboree Frog,Critically Endangered,Present,,"ACT, NSW",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Psophodes nigrogularis nigrogularis,Western Heath Whipbird ,Endangered,Endemic,,WA,Animalia,Chordata,Aves,Passeriformes,Psophodidae,
Pteris kingiana,King's Brakefern,Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Polypodiophyta,Polypodiatae,Pteridales,Pteridaceae,
Pteris zahlbruckneriana,Netted Brakefern,Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Polypodiophyta,Polypodiatae,Pteridales,Pteridaceae,
Pterodroma arminjoniana,"Round Island Petrel, Trinidade Petrel",Critically Endangered,Present,,OCE,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Pterodroma heraldica,Herald Petrel,Critically Endangered,Present,,"AET, CSI, OCE, QLD",Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Pterodroma leucoptera leucoptera,"Gould's Petrel, Australian Gould's Petrel",Endangered,Present,,"CSI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Pterodroma mollis,Soft-plumaged Petrel,Vulnerable,Present,,"AET, ANT, HI, OCE, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Pterodroma neglecta neglecta,Kermadec Petrel (western),Vulnerable,Present,Norfolk Island,"AET, CSI, NI, NSW, OCE, QLD, TER",Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Pteropus conspicillatus,Spectacled Flying-fox,Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pteropus natalis,"Christmas Island Flying-fox, Christmas Island Fruit-bat",Critically Endangered,Endemic,,CI,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pterostylis X aenigma,Enigmatic Greenhood,Endangered,Present,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis arenicola,Sandhill Greenhood Orchid,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis basaltica,Basalt Greenhood,Endangered,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis bicornis,,Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis bryophila,Hindmarsh Valley Greenhood,Critically Endangered,Critically Endangered,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis cheraphila,Floodplain Rustyhood,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis cheraphila,Floodplain Rustyhood,Vulnerable,Possible,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis chlorogramma,Green-striped Greenhood,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis chlorogramma,Green-striped Greenhood,Vulnerable,Present,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis commutata,Midland Greenhood,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis cucullata,Leafy Greenhood,Vulnerable,Present,,"NSW, SA, TAS, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis despectans,Lowly Greenhood,Endangered,Present,,"NSW, SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis gibbosa,"Illawarra Greenhood, Rufa Greenhood, Pouched Greenhood",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis gibbosa,"Illawarra Greenhood, Rufa Greenhood, Pouched Greenhood",Endangered,Present,,TER,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis lepida,Halbury Greenhood,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis mirabilis,Nodding Rufoushood,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis oreophila,"Blue-tongued Orchid, Kiandra Greenhood",Critically Endangered,Present,,"ACT, NSW, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis pratensis,Liawenee Greenhood,Vulnerable,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis psammophila,Two-bristle Greenhood,Critically Endangered,Present,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis pulchella,Pretty Greenhood,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis rubenachii,Arthur River Greenhood,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis saxicola,Sydney Plains Greenhood,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis sinuata,"Northampton Midget Greenhood, Western Swan Grrenhood",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis sp. Botany Bay (A.Bishop J221/1-13),"Botany Bay Bearded Greenhood, Botany Bay Bearded Orchid",Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis sp. Hale (R.Bates 21725),Hale Dwarf Greenhood,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis tenuissima,"Swamp Greenhood, Dainty Swamp Orchid",Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis valida,Robust Greenhood,Critically Endangered,Extinct,,VIC,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis vernalis,Halbury Rustyhood,Critically Endangered,Present,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis wapstrarum,Fleshy Greenhood,Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis xerophila,Desert Greenhood,Vulnerable,Present,,"SA, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Pterostylis ziegeleri,"Grassland Greenhood, Cape Portland Greenhood",Vulnerable,Endemic,,TAS,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Ptilotus beckerianus,Ironstone Mulla Mulla,Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,
Ptilotus pyramidatus,Pyramid Mulla-mulla,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,
Ptychosema pusillum,Dwarf Pea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea aristata,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea baeuerlenii,Budawangs Bush-pea,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea elusa,Elusive Bush-pea,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea glabra,"Smooth Bush-pea, Swamp Bush-pea",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea maidenii,Maiden's Bush-pea,Extinct,Extinct,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea parrisiae,,Vulnerable,Present,,"NSW, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea parviflora,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea pauciflora,Narrogin Pea,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea setulosa,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea sp. Genowlan Point (NSW 417813),"Genowlan Point Pultenaea, Genowlan Pultenaea",Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea trichophylla,Tufted Bush-pea,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea villifera var. glabrescens,"Yellow Bush-pea, Splendid Bush-pea",Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Pultenaea williamsoniana,Williamsons Bush-pea,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Quintalia stoddartii,Stoddart's Helicarionid Land Snail,Critically Endangered,Present,,"AET, NI",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,
Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",Vulnerable,Endemic,Christmas Island,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Typhlopidae,
Randia moorei,Spiny Gardenia,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Rubiales,Rubiaceae,
Ranunculus anemoneus,Anemone Buttercup,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,
Ranunculus prasinus,"Midlands Buttercup, Tunbridge Buttercup",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,
Rattus macleari,"Maclear's Rat, Christmas Island Rat",Extinct,Extinct,Christmas Island,AET,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",Extinct,Extinct,Christmas Island,AET,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Reedia spathacea,Reedia,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Rexea solandri (eastern Australian population),Eastern Gemfish,Conservation Dependent,Present,,"NSW, OCE, QLD, TAS",Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,
Rhagodia acicularis,Wongan Rhagodia,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,
Rhaphidospora bonneyana,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Acanthaceae,
Rhaphidospora bonneyana,,Vulnerable,Present,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Acanthaceae,
Rhaponticum australe,"Austral Cornflower, Native Thistle",Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,
